,time,accX,accY,accZ,gyrX,gyrY,gyrZ,roll,pitch,yaw
4075,664,-1132,23436,2228,-18897,-10393,-4221,-2.485985970949736,-0.24733846041171392,3.0033837142272675
4076,668,2504,21056,2592,-19351,-10551,-3928,1.2044651226266587,-0.5809326589606038,-2.1693158376450246
4077,671,2820,17440,4056,-18885,-9676,-3747,-2.406947778028976,-0.321236564633316,3.018745753600859
4078,675,-540,13536,5628,-17835,-9322,-3167,1.311959230124469,-0.5692180383421639,-2.165022647521659
4079,678,-3736,10884,6424,-16595,-10112,-2099,-2.273688931333843,-0.22239352577195182,2.9516420667178322
4080,683,-5676,7888,6980,-15289,-11208,-725,1.5946622571306344,-0.6374074717835271,-1.9772087819648285
4081,686,-5096,6136,7192,-14011,-11878,505,-2.121056935932264,-0.11159202355016869,2.8571602138004937
4082,689,-2852,4876,7404,-12922,-11899,1248,1.7964494009330008,-0.6193224395884157,-1.871387256237149
4083,693,-840,4272,7596,-11942,-11294,1593,-2.0067075802378707,-0.13158666178599968,2.804677795781177
4084,700,2072,3840,9916,-9990,-9960,1468,1.9241980363447733,-0.5251811930587974,-1.8234667271993905
4085,703,2292,4332,10920,-8837,-9668,1198,-1.9519284431038684,-0.19787982120029923,2.658132467803471
4086,706,2476,5160,12324,-7688,-9572,869,2.0249033637594507,-0.3412829241083165,-1.7426099635536374
4087,710,3204,5800,12848,-6615,-9080,463,-1.9382246178286877,-0.3177933769601376,2.4945441391084553
4088,713,4508,6204,13380,-5664,-8363,-100,2.0438815994548407,-0.11736472402275305,-1.7750656156173923
4089,717,5940,6848,13416,-4763,-7624,-928,-2.0567236579475097,-0.5512844669583705,2.3033070750485316
4090,720,6424,6560,13616,-3951,-7091,-1883,1.9591453218950783,0.2169636092773409,-1.863381704998758
4091,723,6964,7224,13456,-3104,-6413,-2832,-2.4171937026789863,-0.8386945917678484,1.9651184976309533
4092,728,5996,7232,13148,-2499,-5744,-3603,1.8868371809954008,0.5491173943247786,-2.0553246202616435
4093,731,868,6632,13756,-1894,-8462,-4318,-2.620334214562947,-0.8827447821197355,1.4009148897512187
4094,734,4608,6696,12480,-1397,-6805,-4528,1.8265527883401667,0.7723671656426977,-2.251400535974951
4095,738,4420,6420,11588,-1182,-6082,-5138,-3.1185409575529333,-1.082564040908342,1.027377861266641
4096,741,4296,5848,10928,-1018,-5767,-5937,1.9162567162018962,0.9525000586073447,-2.578146666705283
4097,748,3144,5568,11168,-631,-7056,-7210,2.697816368560819,-1.1062749836596208,0.4743002727026703
4098,752,3824,5716,11296,-273,-7262,-7926,2.132028301539948,1.083764855733642,-2.897465631856479
4099,755,5584,6272,11252,116,-6468,-8734,2.1119017493541428,-1.061134635710699,0.04789169167751477
4100,758,6420,6708,11040,457,-5306,-9592,2.2330073526822356,1.1389200091718508,2.973524285856136
4101,762,7384,7684,10820,702,-4102,-10544,1.5695810084810005,-0.9921841128170009,-0.2604491828015857
4102,765,7608,8608,10580,770,-2055,-11241,2.147264210598709,1.0962772861124435,2.6346687424726714
4103,769,6804,9952,10104,633,-758,-11773,1.0890540024808446,-0.9600933771243774,-0.5464072847158419
4104,773,6280,10712,9932,538,909,-12005,2.075630775475029,0.9986412081343394,2.385497992972841
4105,776,5332,11260,9892,663,2176,-11956,0.7108885741256431,-0.8611972318068045,-0.74991598863717
4106,779,4200,11768,9740,1173,4207,-11490,1.9627717805106695,0.9681698878419578,2.0974192565217558
4107,783,3100,11844,9264,1788,5251,-10846,0.4354674870794553,-0.6961002295878281,-0.8322693893654982
4108,786,1544,11372,8596,2328,5267,-10207,2.127528352337801,0.9010408386503324,1.795158757641194
