,time,accX,accY,accZ,gyrX,gyrY,gyrZ,roll,pitch,yaw
466,1874,4808,13412,5968,2368,-853,1745,-1.4402899584932787,-0.6695941634168534,-2.741974988710078
467,1878,748,13764,9004,3365,-312,2618,1.3981583525587438,0.6440790750106525,-2.8611837072082897
468,1881,4504,13308,5532,2690,-1659,2137,-2.0484270570774057,-0.8579385727799974,-2.3920339098684567
469,1884,3264,13536,7020,3311,-1102,2504,0.8424370178265789,0.4936814040638488,-2.150802571294696
470,1888,4632,12364,3716,3005,-1546,2265,-2.7698336969547346,-0.9061507652284557,-2.6430427420198668
471,1891,2644,14208,9024,3625,-1491,2486,0.41785043809501193,0.23998944424035848,-1.8421592007783851
472,1894,4100,13504,6636,3687,-2159,2493,2.8532522035247463,-0.8940446075287753,-2.8858133183717336
473,1903,4088,14472,7952,4298,-2430,2502,0.05549960035213229,0.05197181748239476,-1.7323673598123284
474,1907,4636,12408,3632,4063,-2637,2464,2.382800801318003,-0.7325185521861086,-3.085071448471025
475,1910,6712,12800,3404,4242,-2549,2277,-0.24566391124924405,-0.17444815415719198,-1.6564508692546605
476,1914,5176,13568,6084,4337,-2513,2333,2.128457788987471,-0.48450079350408154,-3.0465004431812477
477,1918,3780,12860,6852,4514,-2530,2463,-0.48459963951248214,-0.400952243427534,-1.555856574996246
478,1921,6308,12544,4480,4405,-2322,2079,1.868890863855931,-0.3457374022552714,-2.88545346088375
479,1925,4572,13192,6300,4253,-2332,2080,-0.7500864240031252,-0.6082208119180819,-1.4601005492884178
480,1928,4672,11956,3564,4328,-2068,2076,1.6437826919985603,-0.15286165164646326,-2.6640579520186622
481,1931,4320,14640,8432,4445,-1453,2065,-1.2377310784484017,-0.9108754887480298,-1.8073391511140182
482,1935,3564,13268,4940,4197,-1709,2230,1.2819378063110018,0.05962232171555618,-2.587196215053068
483,1938,4388,13408,6820,3905,-1213,2099,-2.018106865983474,-1.033994116190235,-2.402685618293063
484,1941,3832,13928,6864,3763,-983,2123,0.9255642841177207,0.06458832630062727,-2.2696071690240807
485,1945,3304,12516,4500,3589,-1303,2152,-2.7956001966105366,-1.086335579464751,-2.772406780451417
486,1954,4660,14076,6192,3419,-1417,2275,0.517370464023435,0.0880884708820931,-1.985514448044504
487,1957,4176,13748,4908,3384,-1533,2423,2.7925755093458116,-0.8816573450863092,3.121119869203519
488,1962,5008,13528,5160,3186,-1746,2321,0.08516267501153504,0.005119112638248417,-1.7639906660213873
489,1965,5912,13336,3592,2638,-1856,2031,2.1990253263448327,-0.6345262366440385,2.9232014159521063
490,1968,3316,12988,6844,3161,-1395,2437,-0.012849003281247995,-0.5431955054115435,-1.531729694801466
491,1972,5012,12888,5636,2850,-2023,2260,1.6028962870432606,-0.4289027469485758,2.838704663866774
492,1975,4460,12528,4984,2703,-1874,2135,-0.1726036835152069,-0.8538845363407268,-1.2570097858985119
493,1978,4060,13292,7088,2957,-1457,2298,1.5509462227274216,-0.2194581543589128,-2.9304423825823878
494,1982,5816,12916,4760,2733,-1993,2025,-0.5437622140627314,-0.9529992302483067,-1.0000275339130298
495,1985,6620,12256,3568,2555,-1296,1750,1.3516350045774315,-0.08640895306552265,-2.382636955149001
496,1988,6664,12624,4808,2260,-844,1363,-1.9501566145940885,-1.2752035421506351,-2.0108122832854303
497,1992,2392,12944,9440,3004,-448,1940,1.0821720229473086,-0.13226455314717728,-1.7150311887162257
498,1995,4944,13492,6416,2835,-1283,1810,-2.7413331537648373,-1.435238315820689,-2.081005151695973
499,1998,4740,13456,7316,2670,-748,1584,0.826254331714299,-0.3418520442409156,-1.205874412306682
500,2008,5664,13260,4676,2389,-808,1350,2.5273868291806316,-1.1766312978760054,-2.4827392208175936
