,accX,accY,accZ,gyrX,gyrY,gyrZ
3870.2765531062123,3521.0581162318485,12598.70140280555,7787.014028056212,1959.569138276598,-7563.006012024365,5984.735470942038
3871.801603206413,10222.789579158565,10676.208416833477,5725.875751502885,1255.3326653306253,-4480.8496993987,4198.68136272538
3873.326653306613,-1247.0220440899157,11889.859719439175,8193.24248497058,1695.0661322646215,-5603.959919839979,5267.9298597196885
3874.8517034068136,-1966.2685370740364,11679.567134268524,8958.012024048046,1690.9098196392733,-5295.841683366722,5212.605210420828
3876.376753507014,5391.807615230688,9909.731462925874,6644.601202404918,1341.3627254509006,-4259.541082164185,4161.97795591176
3877.9018036072143,523.4228456919864,11492.60120240465,8403.134268536929,1347.821643286572,-1573.9659318639574,2304.2444889781286
3879.426853707415,2871.927855711154,11691.575150300654,7732.513026052198,1126.7014028056346,-646.3507014027491,1582.4849699399147
3880.951903807615,1987.2144288575655,12260.072144288533,7684.320641282684,1384.4208416833462,-213.89579158318065,1901.9498997995806
3882.4769539078156,2104.6492985972254,12040.176352705408,7693.515030060113,1871.5751503006031,-2027.4328657314686,3081.6873747495024
3884.0020040080162,-308.8096192381636,14423.390781562674,9076.649298596865,2161.0901803607303,-2179.909819639368,3365.761523046167
3885.5270541082164,3388.216432865447,11929.827655310648,7334.212424849709,2082.6693386773713,-1479.278557114384,3457.2284569138665
3887.052104208417,3648.6973947895185,13474.404809619173,8399.583166332664,1923.1242484969898,933.2264529058543,3017.737474949888
3888.577154308617,2046.1723446896704,12460.424849699524,7994.917835671447,2088.6953907815105,1402.470941883736,3268.2925851702494
3890.1022044088177,5243.302605210221,12250.22845691385,6802.412825651347,2250.9118236473105,1618.7274549098138,3764.7274549098483
3891.6272545090183,2488.184368738328,11632.689378757092,7375.943887775349,2908.883767535157,1658.9398797595868,5057.220440881957
3893.1523046092184,1356.1763527049152,11816.873747495081,7813.90781563145,2715.1883767535405,1823.9539078155626,4966.04809619246
3894.677354709419,5524.46492985871,11143.647294589384,6392.841683367147,2062.6813627254423,3180.3126252505226,3365.182364729413
3896.202404809619,-1927.6392785575154,12782.492985972109,9277.498997996125,2096.0801603206583,2799.6092184369263,3113.923847695416
3897.7274549098197,1583.887775551184,11679.25450901803,7441.202404809537,1901.2505010019968,2561.9318637274623,2699.935871743466
3899.25250501002,-439.0861723440157,12825.186372745642,8322.412825651185,1527.0921843686465,2352.6052104211453,2271.9398797593158
3900.7775551102204,2345.1783567132807,10769.322645290624,5957.242484970018,1552.8637274549183,995.965931863735,2801.723446893793
3902.302605210421,674.8056112236609,12156.737474949896,7146.885771542813,1169.4128256511895,1276.3446893788237,2506.6312625248875
3903.827655310621,-262.30060120164853,12043.991983967948,7875.7434869737135,765.4889779559026,994.8496993988674,2396.7034068135554
3905.3527054108217,-3771.4468937878555,14277.162324649136,10664.368737474986,949.5310621242897,350.8557114226878,2525.9659318638023
3906.877755511022,1433.6352705395366,11352.753507014379,7443.511022044822,1020.4729458918355,-869.7555110220437,2796.785571142349
3908.4028056112224,1687.1022044088004,12731.719438877772,8247.719438877772,856.5611222444909,-267.717434869739,2524.873747494991
3909.927855711423,3479.711422846827,14147.334669338248,8776.304609217827,815.6392785570206,-577.8957915832507,2428.569138276478
3911.452905811623,1403.094188376519,13102.15631262544,8233.835671342895,1229.100200400815,-820.5110220440474,2914.5711422845834
3912.9779559118238,2226.340681362635,11079.695390781486,6537.290581162299,1570.1903807615713,-1757.296593186445,3338.2064128257093
3914.503006012024,3747.6793587172397,12166.364729459005,7290.460921843769,1513.3346693386861,-1446.7254509017916,3073.8196392785667
