,accX,accY,accZ,gyrX,gyrY,gyrZ
3024.446893787575,1103.3266533065944,12061.434869739509,7934.2124248497,-302.3406813627248,-26.9078156312803,57.80160320643017
3025.991983967936,1128.1923847695361,12015.743486973952,7828.833667334657,-346.65531062124774,58.679358717439754,-33.62324649299171
3027.5370741482966,926.8136272545089,12174.148296593186,7990.0040080160325,-360.5370741482966,120.81763527054136,-97.66733466933874
3029.082164328657,852.4408817635376,12055.727454909826,8057.15430861725,-384.589178356714,245.79158316632038,-123.0681362725436
3030.6272545090183,795.5991983968033,12053.162324649315,7868.256513026028,-388.7815631262556,358.4268537074199,-140.01803607214606
3032.172344689379,965.6593186372684,12001.098196392793,7830.340681362732,-444.37675350701784,426.27454909819835,-188.54709418838365
3033.7174348697395,783.9919839679387,12135.743486973946,7948.8737474949885,-474.28256513026054,434.1082164328659,-261.2184368737471
3035.2625250501,483.0541082164109,12097.795591182388,8023.102204408806,-497.73747494989993,454.3807615230153,-251.248496993996
3036.807615230461,739.6793587174689,12022.917835671356,7978.164328657287,-504.2685370741501,582.8116232464827,-240.1122244489061
3038.3527054108217,529.4749498997771,12041.643286573148,8213.859719438886,-480.29458917835655,610.0460921843733,-249.35671342685237
3039.8977955911823,564.2885771543006,12019.679358717436,8117.98797595191,-433.21242484970116,674.6272545090169,-217.45290581162408
3041.442885771543,629.2585170340608,12053.715430861717,7939.943887775546,-469.20040080160106,759.0561122244544,-199.24248496994187
3042.987975951904,561.1543086172169,12115.51903807616,7944.192384769536,-477.0,636.250501001985,-224.6032064128317
3044.5330661322646,453.2745490982106,12096.264529058117,8132.264529058117,-484.80561122244353,504.68937875750953,-218.4048096192373
3046.078156312625,476.376753507011,11982.813627254507,8459.93587174349,-435.06212424849764,444.79559118236693,-235.29659318637323
3047.623246492986,503.070140280568,12001.04208416834,8476.817635270523,-388.4749498998094,361.5030060120366,-218.2745490981988
3049.168336673347,807.8476953908321,12046.773547094199,8366.965931863691,-310.9498997995943,302.52905811626806,-263.36673346693715
3050.7134268537075,436.18436873743485,12100.0,8132.633266533063,-290.28056112224476,525.0921843687402,-308.5370741482984
3052.258517034068,219.5110220440838,12092.272545090178,8058.69338677355,-299.2925851703403,480.1823647294659,-283.6052104208429
3053.8036072144287,389.36272545087195,12045.282565130277,7954.853707414848,-313.44689378757266,463.6452905811493,-251.713426853712
3055.3486973947897,604.0,12048.0,8013.555110220468,-314.09218436873834,909.5811623246736,-205.09218436873834
3056.8937875751503,632.6012024048105,12101.62725450902,8143.150300601203,-332.30060120240523,1011.8496993987974,-239.38877755511112
3058.438877755511,418.18036072146424,12021.755511022044,8203.110220440874,-323.05010020040163,1022.8777555110219,-232.73346693386884
3059.9839679358715,358.8456913827504,12020.064128256514,8133.859719438902,-294.3847695390832,1004.3206412825693,-182.70541082165255
3061.5290581162326,321.3707414829805,12005.13827655312,8101.466933867716,-289.0581162324652,871.8436873747423,-172.71543086172005
3063.074148296593,481.3627254509047,12096.881763527053,8117.178356713426,-295.1863727454911,741.3687374749497,-188.5591182364733
3064.619238476954,1073.402805611182,12010.476953907815,8076.585170340673,-305.0460921843696,741.4348697394753,-292.4468937875645
3066.1643286573144,937.4829659318784,12050.74148296594,7734.444889779472,-409.9719438877728,537.6993987975984,-578.2304609218336
3067.7094188376755,1176.2805611222884,12035.350701402807,7711.4789579157805,-453.3426853707465,676.396793587197,-695.1643286573267
3069.254509018036,1436.8016032064133,12101.739478957914,7223.054108216433,-585.3406813627239,1238.8036072144241,-812.9238476953897
3070.7995991983967,1109.747494990028,12137.64328657316,7164.83366733468,-758.1623246492863,1713.7114228456626,-947.7675350701297
3072.3446893787577,-11014.308617241306,13596.32064128332,11136.841683368973,10.004008016539956,-895.9278557129692,1076.1342685382615
3073.8897795591183,-13395.71943887585,10775.214428857202,10668.841683365987,2217.7034068136854,-13759.062124249278,7488.637274549357
3075.434869739479,7036.024048095998,12627.34268537079,5193.1142284569505,1824.8657314629427,-13076.92585170351,6667.637274549134
3076.9799599198395,8780.713426853981,12900.432865731287,4645.515030060102,793.8096192385874,-7545.448897796146,4207.793587174623
3078.5250501002006,448.5931863719743,12931.062124248729,8828.064128256752,1059.238476953958,-7042.22044088184,4069.4589178357046
3080.070140280561,5814.044088176335,12507.030060120216,7368.761523046112,2434.1843687374576,-7118.84569138269,5176.697394789553
3081.615230460922,3658.9418837676913,12774.004008015983,8094.348697394753,2183.8496993987987,-5456.775551102257,4662.503006012037
3083.1603206412824,4816.064128256479,12978.733466934029,8276.280561122181,2297.719438877735,-4109.865731462975,4716.294589178307
3084.7054108216435,3858.164328657047,12122.388777555097,8473.4909819639,2511.044088176379,-3281.0360721441502,5021.13827655312
3086.250501002004,6413.955911823643,11200.144288577168,6485.843687374734,2157.426853707383,-1033.757515029938,3946.801603206344
3087.7955911823647,4998.677354709536,12437.539078156224,7789.0821643285235,1610.3527054108272,2701.0040080158687,2419.871743487016
3089.3406813627253,4507.623246492825,12536.43286573152,8166.725450901802,1615.1002004007905,5085.268537074014,1913.5671342685737
3090.8857715430863,3020.553106212081,12754.084168336743,8005.474949899772,1496.3326653306349,6284.332665330783,1379.316633266465
3092.430861723447,2791.727454909831,13244.176352705368,7773.0661322644755,1834.3406813627262,6547.713426853694,1501.569138276553
3093.9759519038075,-3854.8937875745287,14052.176352705264,9316.99398797572,2719.5250501001215,5702.693386773601,3271.3767535068537
3095.521042084168,-2393.0581162333983,12906.91783567159,8895.567134269131,4002.488977955902,3301.8096192385624,5503.831663326551
3097.066132264529,4419.374749498762,12498.685370741543,6017.402805611335,3698.9298597194074,4320.162324649469,5385.543086172326
3098.61122244489,1466.6613226452682,12861.098196392784,7832.849699398816,3538.0120240480974,5376.19038076152,5564.945891783573
3100.1563126252504,1394.9899799603663,11248.064128256403,8153.859719438904,3754.3687374749607,5057.6793587173415,5830.911823647339
3101.701402805611,-3718.420841682848,12277.531062124195,8702.709418837432,3743.6472945891546,4943.406813627527,5788.7074148295615
