,time,accX,accY,accZ,gyrX,gyrY,gyrZ,roll,pitch,yaw
3892,1309,576,13796,9744,2570,-6335,528,-1.7827381367564834,1.0228236923661165,-3.133896423978591
3893,1313,1432,13868,10344,2614,-5222,286,2.489009624149991,-0.3208869549967008,0.8765620149482753
3894,1316,868,10044,7360,2186,-4434,108,-1.8988578233793094,0.7184342957866281,3.0161716697806824
3895,1320,3848,11224,9500,2679,-3773,-354,2.100007970708395,0.08395722221443186,0.9246603491152922
3896,1323,636,11552,8020,2217,-2994,-292,-2.0944882179345767,0.35801290058768054,2.8250321656393136
3897,1326,836,11084,8156,2242,-2614,-430,1.67760027556657,0.48154204730466604,0.8803650125691217
3898,1330,836,12016,9028,2068,-2025,-454,-2.514200959158409,0.08726412452118942,2.4678698586416488
3899,1333,-80,13280,9264,1810,-1631,-346,1.0595829262519045,1.0127456216489008,0.9845064714528082
3900,1336,-332,11848,7436,1704,-1380,-452,3.022949035399032,-0.07321387850527658,2.03701819932326
3901,1345,-488,11696,6576,1185,-1442,-155,-2.165391390038933,1.1512677733026995,-2.553399783469853
3902,1349,-1400,11248,6976,713,-1389,111,2.4879095022331703,-0.04234862435818838,0.8355236005025014
3903,1352,-1164,11028,6620,611,-1535,96,-2.2612982797758336,0.1533740838081896,3.023660960810887
3904,1356,-1304,12600,8064,265,-1672,562,2.9512977243069334,0.38970681733562484,-0.4507697111077103
3905,1360,-2016,9212,5088,-256,-1579,799,-2.288649255166474,-0.9207792416137579,2.2610012662036607
3906,1363,1896,11184,8776,-582,-1228,1192,-2.112470899170273,0.21079893495660146,-1.4651928719512115
3907,1366,2820,12248,8568,-483,-561,794,-2.9510748539659777,-0.7114045217592931,0.34565946415937415
3908,1370,-708,12540,8180,-377,-617,753,-1.522128260796584,-0.42195891940449753,-3.0364419374704235
3909,1373,-664,12636,8244,-232,-709,838,-2.5156483033397805,0.4939510875104701,-0.9568704026931815
3910,1376,16,12608,7896,-143,-779,791,-2.787534873115984,-0.6315031004870502,1.1268527985560155
3911,1379,-124,12536,7784,-78,-949,720,-1.901073740943346,0.14937691644572226,-2.742026512600712
3912,1383,-340,12604,7668,-31,-916,732,-2.9946887056856086,0.2522364608029237,-0.32563291802279654
3913,1386,-448,12624,7444,1,-872,729,-2.265937463697703,-0.5740603571087305,1.9536763263501338
3914,1389,-520,12600,7376,-19,-956,750,-2.1802078820185744,0.5036821536077295,-2.1207786685778993
3915,1392,-832,12760,7140,-45,-1065,812,-3.078372304622456,-0.23282296749941858,0.28692416294226686
3916,1402,-332,12644,6860,-178,-1317,949,-1.9646869875392736,-0.2748434304538382,3.0299508208467474
3917,1406,-100,12568,7128,-225,-1303,922,-2.878376414035595,0.30281909256544487,-0.8143083071872916
3918,1409,-148,12588,7132,-234,-1361,934,-2.5061089798095404,-0.6959455511307294,1.7194692966488183
3919,1412,196,12616,7188,-282,-1269,867,-2.2615509021570057,0.251943496580516,-2.0790314704769894
3920,1416,732,12648,7108,-300,-1160,782,-3.0977419880427384,-0.34862382951941084,0.22672245061707935
3921,1419,420,12672,7204,-307,-971,688,-1.9847038262448038,-0.4902279454026189,2.957694759043768
3922,1422,-116,12640,7304,-311,-903,695,-2.5970593999221006,0.234700734729557,-1.1909097844968095
3923,1425,-468,12644,7272,-343,-1050,694,-2.9378465163112577,-0.6384599790943175,1.0347541451455537
3924,1429,-268,12664,7240,-358,-1059,720,-2.037017444217159,-0.16710702742037675,-2.5480823043095393
3925,1432,-56,12640,7376,-344,-1036,725,-2.9322871341565873,0.026724684892975255,-0.30876579930224834
3926,1435,104,12596,7588,-341,-886,696,-2.3370382290205436,-0.8354434129015464,2.1549601566369376
3927,1439,-52,12596,7680,-317,-778,708,-2.0262242506901695,0.1045770137634508,-1.8557470771987419
3928,1443,600,12584,7800,-269,-603,625,-2.854651557272316,-0.19947570778258444,0.09945097992984495
3929,1446,636,12556,7780,-193,-432,515,-2.071639391304573,-0.8308029676197297,2.2324118857619326
3930,1455,380,12668,7184,-156,73,367,-0.7349071464316392,-0.8986826899591973,-1.8770919284314427
3931,1458,300,12768,7096,-205,214,312,-0.5011498920000328,-0.3783866849449374,-0.4295147105055583
3932,1461,348,12608,6936,-267,291,233,-0.9065155788222016,-0.4194294615982818,0.830683336002496
3933,1465,-88,12684,6756,-333,316,227,-1.070573104492033,-0.9254711175660143,2.2282262668333748
3934,1468,-88,12684,6800,-437,358,245,-0.17076891126089433,-0.9890053201989967,-1.5997472311614704
3935,1471,-80,12520,6896,-504,354,260,-0.5045307973936376,-0.5638222123827955,-0.04861737332662226
3936,1474,184,12700,7072,-519,398,237,-0.9575175575024069,-0.8527419963549427,1.4858485418125038
3937,1477,404,12668,7208,-568,537,133,0.4653267527973575,-1.0348132808134494,-1.688486154045654
3938,1481,436,12520,7420,-538,653,85,0.09412808242588701,-0.21354347711008412,0.010113913658999062
3939,1485,480,12568,7608,-537,769,21,-0.5331059908816606,-0.656567398897305,1.79856147393289
