,accX,accY,accZ,gyrX,gyrY,gyrZ
3053.374749498998,2065.5230460921866,12545.482965931862,7434.509018036073,-141.3767535070142,908.7114228456876,-106.99599198396754
3054.9539078156313,-5913.2505010021705,13354.941883767551,8602.47695390784,198.77555110221147,1664.1503006012163,2315.4649298597706
3056.5330661322646,-4309.8757515022935,11349.36272545096,7862.116232464676,757.3927855711117,-4634.058116232758,6018.0961923847135
3058.112224448898,6572.42484969931,13593.659318637132,6524.585170340826,445.49899799599734,-3274.577154308423,4530.931863727383
3059.691382765531,8173.811623247011,12773.394789579233,6563.366733466681,278.1282565129791,-791.2885771541069,3181.7134268535374
3061.2705410821645,-39.094188377199316,12570.084168336616,7927.935871743361,492.020040080175,592.0240480959919,3571.0440881764644
3062.8496993987974,-2936.9539078153175,13049.955911823476,7963.623246492862,579.138276553098,-1054.028056111998,4635.2685370739855
3064.4288577154307,293.3306613225359,12566.693386773642,7803.767535070276,788.9979959919851,-2788.647294589134,5660.517034068085
3066.008016032064,5248.865731463156,12540.416833667328,6583.67935871744,308.48496993990284,-965.8797595191008,4210.1643286574035
3067.5871743486973,1858.741482966132,12286.669338677395,7575.078156312489,267.206412825632,-424.8797595190422,3984.7494989979305
3069.1663326653306,-754.28456913837,12703.855711422832,7409.138276553087,490.6232464929817,-2105.5991983967706,4668.8176352705395
3070.745490981964,3146.7655310621485,12470.589178356704,7579.91182364729,548.3066132264521,-2754.112224448899,4721.418837675351
3072.3246492985973,3237.963927855959,12576.08817635274,7445.298597194276,599.1743486973828,-2336.45691382765,4805.332665330588
3073.9038076152306,5002.973947895658,12683.935871743453,7520.785571142444,561.7454909819758,-1400.114228456816,3598.6292585169977
3075.482965931864,294.5571142283152,12205.146292585006,8214.781563126075,757.2625250501151,-851.0801603206492,4415.450901803706
3077.062124248497,1177.7474949897278,12493.659318637194,8043.158316633313,1350.1823647294932,-2338.6753507015674,6276.503006012213
3078.6412825651305,523.414829659534,11700.969939879615,8018.052104208324,1683.1683366734069,-3104.1102204408653,7423.677354709499
3080.2204408817634,3761.8196392779937,11662.901803607238,8395.406813627458,1942.288577154337,-1667.394789579208,7724.803607214562
3081.7995991983967,1202.5410821651549,11556.801603206413,8914.484969939647,2171.0220440881185,-435.3066132266176,7816.855711422733
3083.37875751503,2794.9498997995433,12044.272545090094,6893.434869739423,2186.286573146289,-818.849699398801,7818.935871743434
3084.9579158316633,2414.5090180361058,11962.973947895822,7353.474949899797,2121.997995991988,-1324.6853707414602,8252.727454909818
3086.5370741482966,5411.382765531074,12553.563126252506,6933.098196392784,2051.621242484969,-1244.5991983967942,8022.615230460919
3088.11623246493,3925.4909819638287,13356.569138276542,7413.338677354768,2006.5450901803742,-75.55511022044402,7140.741482965959
3089.695390781563,2192.6653306613334,12035.37474949885,7739.759519037976,2015.4809619238158,-945.21643286584,7580.150300601195
3091.2745490981965,6319.10220440897,13846.412825651238,5707.01402805623,1826.973947895769,-1346.8817635269834,6429.42685370733
3092.85370741483,1488.945891782365,11612.184368737071,4354.228456913406,1350.2965931862964,-140.78156312607462,4648.801603206128
3094.4328657314627,3499.4549098196985,12652.016032064006,7190.949899799412,1640.1062124248365,-1054.3927855711063,5079.266533066035
3096.012024048096,788.6092184367426,11569.050100200324,8021.442885771521,1854.9358717434575,-1411.6132264528965,5726.450901803555
3097.5911823647293,5177.883767534207,13057.587174348446,6659.679358717782,2022.2765531062105,-1502.791583166323,5385.120240481108
3099.1703406813626,4828.961923847552,12139.679358717358,7477.51503006032,2179.3366733467274,-400.0160320641321,4864.050100200536
3100.749498997996,4732.9138276554,13035.855711422832,6638.380761522985,1895.4889779559107,533.3987975951313,3889.1042084168193
3102.3286573146293,1450.0921843687356,12076.048096192382,6645.098196392788,1965.9218436873743,727.102204408819,4379.759519038075
3103.9078156312626,4222.308617234579,13051.158316633293,6666.388777555127,2081.284569138279,306.7555110220346,4511.815631262525
3105.486973947896,1997.8517034068536,12094.276553106289,6250.86172344694,2111.5511022044248,752.521042084165,5054.382765531105
3107.066132264529,6742.284569137788,13149.30661322633,6483.014028056157,2064.1322645290584,315.23446893802884,4821.050100200469
