,accX,accY,accZ,gyrX,gyrY,gyrZ,q1,q2,q3,q4
11,-2668.444444444439,12659.555555555558,6888.444444444442,-727.8888888888882,715.0000000000011,71.22222222222331,-0.2237659156222285,-0.6316015602510926,0.7416118948123832,0.03193871579944423
12,-1957.8181818181813,12576.969696969698,7213.090909090908,-415.7272727272723,1473.2727272727302,-659.2727272727301,-0.7821555324724523,-0.30681677363578064,-0.41225508610255374,-0.3523378129310576
13,-2200.9292929292887,12568.282828282829,6544.808080808079,-683.777777777776,3490.454545454538,-1481.9898989898938,0.28369362634958745,0.4692252194095319,-0.7649764615969014,-0.33787073421854974
14,-6843.191919191937,13050.828282828305,7347.919191919187,-436.9494949494938,2872.1717171717137,-186.56565656564635,0.7997849181919928,-0.4436552280088567,-0.21001696329478917,0.34555317741481123
15,-6224.2424242426205,12266.545454545434,5559.757575757467,-529.4545454545532,1802.2121212121729,2573.909090909099,-0.36801906064512335,-0.33250765868642657,0.3685826484641936,0.7862235427458736
16,-3346.626262626265,12524.282828282829,7974.101010101002,-576.0808080808089,-69.17171717171368,4168.30303030303,-0.8251394492140817,0.4125153441680253,0.2669987783879885,-0.27872501236153785
17,-4114.707070707123,12550.868686868736,7044.727272727254,-496.1717171717137,-112.686868686872,4335.919191919184,0.2798252049986895,0.418544743845627,-0.4074435718428782,-0.7619106823050568
18,-4734.909090909087,13184.000000000004,7698.909090909099,-634.1818181818196,281.54545454546883,4350.545454545442,0.8385684740459547,-0.3247027040935885,-0.35617827593279333,0.25398445630410843
19,-886.8282828283022,12326.949494949504,7309.535353535335,-265.9292929292927,400.7171717171794,3936.3838383838392,0.07247229141014137,-0.45716208570729155,0.7587578473074172,0.458298072785536
20,1127.0707070705953,12300.686868686853,5657.616161616199,-14.050505050502238,2273.0808080807737,2799.404040404095,-0.6763560943673308,0.54777196007859,0.4921881869605441,-0.01546292276132064
21,-2066.666666666677,12066.181818181814,5480.242424242422,-96.18181818181893,910.848484848486,2836.5454545454504,0.007332649974472706,0.5825549784241649,-0.5334740453533718,-0.6131731992609277
22,-1286.666666666419,13243.555555555522,6583.999999999965,-288.11111111111177,99.33333333331257,3254.11111111107,0.6110094534773554,-0.4974861692696305,-0.6156745989013249,-0.010942916175533593
23,-3600.7272727272707,13439.676767676769,7250.424242424242,48.51515151515139,40.24242424242436,4007.585858585858,0.10880811363107253,-0.6307283384039443,0.5153950539321835,0.5698337441083046
24,-2686.909090909019,13177.696969696955,6982.909090909083,49.15151515151592,322.6363636363694,3504.7575757575923,-0.646221880297101,0.3426271842408288,0.6818135578521223,-0.0115830209147291
25,-1633.8989898990149,13220.969696969709,6489.494949494941,82.8282828282845,751.0808080808047,3334.232323232327,-0.24568072256825252,0.6756191830677127,-0.4888734137454064,-0.4941482443176042
26,1762.545454545828,12589.050505050467,6073.737373737336,-31.414141414137475,1027.3939393939252,3014.56565656565,0.5273598254910512,-0.3632765868520993,-0.7479806909023735,-0.17448960410392647
27,-848.3636363635874,13538.181818181783,5982.909090909106,44.90909090909429,374.9090909090837,2564.909090909122,0.7004932405420584,-0.4509761606263789,0.5409491195657803,0.1153419808334479
28,554.7474747474771,13213.858585858572,6380.6060606060855,15.727272727272066,1269.0404040404064,1321.1414141414098,-0.28322082200502235,0.06571193564292017,0.9525762063820883,0.08981357654369114
29,-805.373737373855,12872.24242424242,6587.555555555584,-13.71717171716864,518.8989898989976,376.6565656565863,-0.12631690558949926,0.8998910463455593,0.3885092212573947,0.15264576334560007
30,-1183.2727272727252,13151.757575757576,6446.909090909092,-149.12121212121224,-25.27272727272714,334.060606060606,0.33800622254471785,0.5017204492439047,-0.35918871537732183,-0.7106418585174494
31,-1554.5050505050167,13109.77777777778,6670.707070707086,-181.89898989899143,-997.4040404040657,691.848484848495,0.2829248252756875,-0.7991565413592222,-0.24581426946807552,-0.4699762872436905
32,-1328.3636363636217,13744.202020202025,5281.454545454545,-694.4949494949469,-1342.464646464641,773.7676767676767,-0.7264844469749399,-0.45404228126862556,-0.2683788934085863,0.44049826866479364
33,8349.333333333265,19385.33333333333,4592.000000000068,-5836.999999999894,-10083.666666666655,-3931.333333333104,-0.24886481773267566,0.8660774233648062,-0.1929744091212951,0.3882487303996594
34,-1328.2828282828632,10871.919191919063,6508.60606060616,-13936.686868686837,-9337.121212121148,-9493.404040403972,0.6965200865509199,-0.0699117342025031,-0.02099329308920481,0.7138146819008198
35,-1506.383838383852,8283.595959595963,11144.202020202014,-1928.5050505050397,3318.1010101010093,-1760.050505050499,0.17893800927484674,-0.4492540767163608,0.8629597864271741,-0.14646627734755627
36,-615.9999999999454,9840.3636363636,9217.81818181823,1872.5454545454013,5607.090909090864,-958.6363636363732,-0.563406764412713,0.24465608306577152,0.14596185184333954,-0.7755071609207584
37,-2754.989898989883,14137.131313131313,6085.212121212124,3042.4848484848662,6220.323232323244,384.46464646464256,-0.2578764016032077,0.38991387323955184,-0.8791468269851531,0.09256235494762052
38,-2195.7171717171595,14066.585858585888,6152.363636363649,2521.3838383838224,4227.8989898989785,97.87878787878184,0.480942799534736,0.3557320802993148,-0.042736063212568974,0.8002014368411893
39,-2471.87878787879,12946.424242424246,7043.151515151515,665.212121212121,1128.3939393939404,-865.6969696969697,-0.024573754081453663,0.014959021146024057,0.9728324808836675,0.2297157426786979
